threads, chunks, time
2, 50, 15.6509
2, 50, 15.5853
2, 50, 15.5646
2, 50, 15.5332
2, 50, 15.5783
2, 50, 15.5704
2, 50, 15.601
2, 100, 15.5345
2, 100, 15.5648
2, 100, 15.5496
2, 100, 15.5123
2, 100, 15.5605
2, 100, 15.5486
2, 100, 15.5872
2, 100, 15.5177
2, 100, 15.5329
2, 100, 15.5463
2, 100, 15.5471
2, 100, 15.5294
2, 100, 15.5159
2, 100, 15.5954
2, 100, 15.5144
2, 100, 15.5224
2, 100, 15.5608
2, 100, 15.529
2, 100, 15.4912
2, 100, 15.5435
2, 100, 15.5148
2, 100, 15.5889
2, 100, 15.5078
2, 100, 15.4154
2, 100, 15.03
2, 100, 15.1656
2, 100, 15.1217
2, 100, 15.2516
2, 100, 15.5579
2, 100, 15.7684
2, 100, 15.0964
2, 100, 15.0095
2, 100, 15.0551
2, 100, 15.1309
2, 100, 15.066
2, 100, 15.0223
2, 100, 15.0804
2, 100, 15.1669
2, 100, 15.0843
2, 100, 15.0088
2, 100, 15.0821
2, 100, 15.0801
2, 100, 15.0649
2, 100, 15.0397
2, 100, 15.1165
2, 100, 15.095
2, 100, 15.0428
2, 100, 15.0071
2, 100, 15.0445
2, 100, 15.0804
2, 100, 15.0375
2, 100, 15.0681
2, 100, 15.1217
2, 100, 15.0789
2, 100, 15.0205
2, 100, 15.0837
2, 100, 14.9748
2, 100, 15.0426
2, 100, 15.0031
2, 100, 15.0505
2, 100, 15.0733
2, 100, 15.071
2, 100, 15.0647
2, 100, 15.1167
2, 100, 15.0191
2, 100, 14.9225
2, 100, 14.9225
2, 100, 14.9179
2, 100, 14.9225
2, 100, 14.9522
2, 100, 14.9321
2, 100, 14.9625
2, 100, 14.9397
2, 100, 14.9279
2, 100, 14.9296
2, 100, 14.8897
2, 100, 14.9173
2, 100, 14.9367
2, 100, 14.9216
2, 100, 14.9308
2, 100, 14.9488
2, 100, 14.9115
2, 100, 14.9371
2, 100, 14.9018
2, 100, 14.9271
2, 100, 14.9032
2, 100, 14.9522
