mode,device,size,run,time_sec,iterations,error,eps,max_iters,check_every
openacc,gpu,512,1,12.53577047,1000000,1.359891e+01,1e-06,1000000,1000
openacc,gpu,512,2,4.27176492,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,3,4.265809823,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,4,4.25955793,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,5,4.266834618,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,6,4.259014779,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,7,4.257851037,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,8,4.261845054,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,9,4.260211938,340000,9.924346e-07,1e-06,1000000,1000
openacc,gpu,512,10,4.260672506,340000,9.924346e-07,1e-06,1000000,1000
